Nome do Ativo;Data;Dividend Yield;Taxa Indicativa
NTN-B 760199 20350515;15/10/2020;;0,0386
NTN-B 760199 20350515;16/10/2020;;0,0386
NTN-B 760199 20350515;19/10/2020;;0,0381
NTN-B 760199 20350515;20/10/2020;;0,0377
NTN-B 760199 20350515;21/10/2020;;0,0378
NTN-B 760199 20350515;22/10/2020;;0,0382
NTN-B 760199 20350515;23/10/2020;;0,0387
NTN-B 760199 20350515;26/10/2020;;0,0389
NTN-B 760199 20350515;27/10/2020;;0,0394
NTN-B 760199 20350515;28/10/2020;;0,0393
NTN-B 760199 20350515;29/10/2020;;0,0392
NTN-B 760199 20350515;30/10/2020;;0,0394
NTN-B 760199 20350515;03/11/2020;;0,0394
NTN-B 760199 20350515;04/11/2020;;0,039
NTN-B 760199 20350515;05/11/2020;;0,0383
NTN-B 760199 20350515;06/11/2020;;0,0374
NTN-B 760199 20350515;09/11/2020;;0,037
NTN-B 760199 20350515;10/11/2020;;0,0376
NTN-B 760199 20350515;11/11/2020;;0,0383
NTN-B 760199 20350515;12/11/2020;;0,0389
NTN-B 760199 20350515;13/11/2020;;0,0385
NTN-B 760199 20350515;16/11/2020;;0,0387
NTN-B 760199 20350515;17/11/2020;;0,0386
NTN-B 760199 20350515;18/11/2020;;0,0392
NTN-B 760199 20350515;19/11/2020;;0,0392
NTN-B 760199 20350515;20/11/2020;;0,0398
NTN-B 760199 20350515;23/11/2020;;0,0399
NTN-B 760199 20350515;24/11/2020;;0,0395
NTN-B 760199 20350515;25/11/2020;;0,0391
NTN-B 760199 20350515;26/11/2020;;0,0386
NTN-B 760199 20350515;27/11/2020;;0,0379
NTN-B 760199 20350515;30/11/2020;;0,0379
NTN-B 760199 20350515;01/12/2020;;0,0372
NTN-B 760199 20350515;02/12/2020;;0,0371
NTN-B 760199 20350515;03/12/2020;;0,0358
NTN-B 760199 20350515;04/12/2020;;0,0357
NTN-B 760199 20350515;07/12/2020;;0,0358
NTN-B 760199 20350515;08/12/2020;;0,0357
NTN-B 760199 20350515;09/12/2020;;0,0357
NTN-B 760199 20350515;10/12/2020;;0,0349
NTN-B 760199 20350515;11/12/2020;;0,0341
NTN-B 760199 20350515;14/12/2020;;0,0338
NTN-B 760199 20350515;15/12/2020;;0,0331
NTN-B 760199 20350515;16/12/2020;;0,0331
NTN-B 760199 20350515;17/12/2020;;0,0329
NTN-B 760199 20350515;18/12/2020;;0,0329
NTN-B 760199 20350515;21/12/2020;;0,033
NTN-B 760199 20350515;22/12/2020;;0,0332
NTN-B 760199 20350515;23/12/2020;;0,0326
NTN-B 760199 20350515;24/12/2020;;0,0326
NTN-B 760199 20350515;28/12/2020;;0,0327
NTN-B 760199 20350515;29/12/2020;;0,0321
